iter	Passed	Remaining
0	6	2748
1	12	2560
2	18	2506
3	24	2441
4	31	2472
5	37	2438
6	42	2404
7	49	2403
8	54	2348
9	59	2304
10	64	2284
11	69	2248
12	74	2229
13	80	2216
14	85	2189
15	90	2176
16	95	2160
17	101	2160
18	107	2150
19	113	2159
20	118	2140
21	123	2122
22	129	2118
23	134	2103
24	139	2088
25	144	2084
26	149	2071
27	154	2056
28	160	2051
29	165	2036
30	170	2024
31	174	2011
32	180	2002
33	184	1989
34	190	1983
35	195	1977
36	200	1970
37	205	1961
38	211	1953
39	215	1942
40	220	1931
41	226	1934
42	231	1924
43	236	1914
44	241	1907
45	246	1900
46	252	1894
47	257	1888
48	262	1879
49	267	1869
50	272	1865
51	277	1857
52	282	1849
53	287	1841
54	292	1834
55	297	1826
56	302	1818
57	307	1812
58	313	1812
59	318	1805
60	323	1800
61	329	1794
62	334	1786
63	339	1781
64	344	1774
65	349	1767
66	354	1761
67	359	1754
68	364	1746
69	369	1741
70	374	1733
71	379	1727
72	384	1720
73	389	1714
74	394	1707
75	399	1702
76	404	1695
77	409	1690
78	414	1683
79	420	1680
80	425	1673
81	430	1667
82	435	1664
83	440	1657
84	445	1650
85	450	1646
86	455	1639
87	460	1632
88	466	1629
89	471	1623
90	477	1620
91	482	1616
92	487	1610
93	493	1606
94	498	1601
95	505	1599
96	510	1595
97	516	1591
98	521	1585
99	526	1578
100	532	1576
101	537	1570
102	542	1563
103	547	1558
104	552	1552
105	557	1545
106	562	1540
107	567	1534
108	572	1527
109	577	1522
110	582	1516
111	587	1509
112	592	1504
113	597	1498
114	602	1492
115	607	1487
116	612	1482
117	618	1478
118	623	1472
119	628	1467
120	633	1460
121	638	1454
122	643	1450
123	648	1444
124	653	1438
125	659	1433
126	664	1427
127	669	1421
128	674	1417
129	679	1411
130	684	1405
131	689	1400
132	694	1394
133	699	1388
134	704	1383
135	709	1378
136	716	1375
137	721	1370
138	726	1364
139	731	1358
140	736	1353
141	743	1350
142	748	1344
143	754	1340
144	759	1335
145	764	1329
146	769	1325
147	775	1320
148	781	1315
149	786	1310
150	791	1305
151	796	1299
152	801	1294
153	806	1288
154	811	1283
155	816	1277
156	821	1272
157	826	1266
158	831	1261
159	837	1256
160	842	1250
161	847	1244
162	852	1239
163	857	1234
164	862	1228
165	868	1223
166	873	1218
167	877	1212
168	883	1207
169	888	1201
170	893	1196
171	898	1191
172	903	1186
173	909	1180
174	914	1175
175	919	1170
176	925	1165
177	930	1160
178	935	1155
179	940	1149
180	946	1144
181	951	1139
182	956	1133
183	961	1128
184	966	1123
185	971	1117
186	977	1113
187	982	1107
188	987	1102
189	992	1097
190	997	1091
191	1002	1086
192	1008	1081
193	1013	1076
194	1019	1071
195	1023	1065
196	1029	1060
197	1035	1055
198	1039	1050
199	1045	1045
200	1050	1040
201	1055	1034
202	1060	1029
203	1065	1023
204	1070	1017
205	1076	1013
206	1081	1008
207	1086	1002
208	1092	997
209	1097	992
210	1101	987
211	1107	982
212	1113	977
213	1118	972
214	1124	967
215	1130	962
216	1135	957
217	1140	952
218	1145	947
219	1150	941
220	1156	936
221	1161	930
222	1166	925
223	1171	920
224	1177	915
225	1181	909
226	1186	904
227	1192	899
228	1196	893
229	1201	888
230	1206	882
231	1211	877
232	1217	872
233	1223	867
234	1228	862
235	1233	857
236	1238	852
237	1243	846
238	1248	841
239	1254	836
240	1258	830
241	1264	825
242	1269	820
243	1274	814
244	1279	809
245	1284	804
246	1289	798
247	1294	793
248	1299	788
249	1304	782
250	1309	777
251	1314	772
252	1319	766
253	1324	761
254	1329	755
255	1334	750
256	1339	745
257	1344	740
258	1350	735
259	1354	729
260	1359	724
261	1364	718
262	1369	713
263	1374	708
264	1379	702
265	1384	697
266	1389	692
267	1394	686
268	1399	681
269	1404	676
270	1409	671
271	1414	665
272	1419	660
273	1424	654
274	1429	649
275	1434	644
276	1439	639
277	1445	634
278	1449	628
279	1454	623
280	1459	618
281	1464	612
282	1469	607
283	1474	602
284	1479	597
285	1484	591
286	1489	586
287	1494	581
288	1499	576
289	1504	570
290	1510	565
291	1514	560
292	1520	555
293	1527	550
294	1532	545
295	1537	540
296	1543	535
297	1547	529
298	1552	524
299	1557	519
300	1562	513
301	1567	508
302	1572	503
303	1577	498
304	1582	492
305	1587	487
306	1592	482
307	1597	477
308	1602	471
309	1607	466
310	1612	461
311	1617	456
312	1623	451
313	1628	446
314	1633	440
315	1638	435
316	1643	430
317	1648	425
318	1653	419
319	1658	414
320	1663	409
321	1669	404
322	1674	399
323	1679	394
324	1684	388
325	1690	383
326	1694	378
327	1699	373
328	1705	368
329	1709	362
330	1714	357
331	1719	352
332	1724	347
333	1729	341
334	1735	336
335	1741	331
336	1746	326
337	1751	321
338	1756	316
339	1760	310
340	1766	305
341	1771	300
342	1776	295
343	1781	289
344	1786	284
345	1791	279
346	1796	274
347	1801	269
348	1806	263
349	1811	258
350	1816	253
351	1821	248
352	1826	243
353	1831	238
354	1837	232
355	1842	227
356	1847	222
357	1852	217
358	1857	212
359	1862	206
360	1867	201
361	1872	196
362	1877	191
363	1882	186
364	1887	181
365	1892	175
366	1897	170
367	1902	165
368	1907	160
369	1913	155
370	1918	149
371	1923	144
372	1929	139
373	1933	134
374	1939	129
375	1944	124
376	1949	118
377	1954	113
378	1959	108
379	1964	103
380	1969	98
381	1974	93
382	1980	87
383	1985	82
384	1990	77
385	1995	72
386	2000	67
387	2004	62
388	2010	56
389	2015	51
390	2020	46
391	2025	41
392	2030	36
393	2035	30
394	2040	25
395	2045	20
396	2050	15
397	2055	10
398	2061	5
399	2065	0
